aymara,english
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Chuki,Corn
Wira,Blood
Kunti,Bone
Waqay,To cry
Wak'a,Sacred place
K'ara,Black
Wamp'u,Song
K'intu,Offering
Puri,Cloud
Pusku,Wool
Juk'i,Mud
Muru,Seed
Tawa,Four
P'unchay,To blossom
Q'illu Phaxsi,Full Moon
Jisk'a Phaxsi,Crescent Moon
Misk'i,Sweet
Yawar,Blood
Yana,Black
Siki,To walk
Wich'qana,To sing
Phururu,To jump
Q'ara,Coal
Wasi,Wife
Wasi,Husband
Q'arwa,Cold
K'uychi,Rainbow
Willa,Tree
Kachi,Salt
Pisqa,White
Q'omer,Mountain
Muña,Mint
Tunka,Bottle
Ch'allay,Goodbye
Kusillo,Dancer
Llank'ay,Work
Supay,Devil
Mamaq,Mother
Tataq,Father
Kusiku,Night
Wayna,Young
Wit'i,Small
Qallu,Hair
Nayra,Eye
Iskay,Two
Qantu,Flower
P'itita,Little
Qala,Stone
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
P'unchay,To blossom
Phururu,To jump
Ñawi,Eye
Qhapaq Ñan,Royal Road
Wamp'u,Song
Pachamama,Mother Earth
Salla,Valley
Llaki,Love
Llaqta,Town
Wira,Blood
Kuska,Bird
Kusi,Joy
Siki,To walk
Uña,Finger
Q'asa,Nose
Wasi,House
Phaxsi,Sun
Illimani,Mountain
Mallku,Condor
Jach'a,Big
Jiska,Moon
Pacha,World
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
P'unchay,To blossom
Phururu,To jump
Ñawi,Eye
Qhapaq Ñan,Royal Road
Wamp'u,Song
Pachamama,Mother Earth
Salla,Valley
Llaki,Love
Llaqta,Town
Wira,Blood
Kuska,Bird
Kusi,Joy
Siki,To walk
Uña,Finger
Q'asa,Nose
Wasi,House
Phaxsi,Sun
Illimani,Mountain
Mallku,Condor
Jach'a,Big
Jiska,Moon
Pacha,World
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
P'unchay,To blossom
Phururu,To jump
Ñawi,Eye
Qhapaq Ñan,Royal Road
Wamp'u,Song
Pachamama,Mother Earth
Salla,Valley
Llaki,Love
Llaqta,Town
Wira,Blood
Kuska,Bird
Kusi,Joy
Siki,To walk
Uña,Finger
Q'asa,Nose
Wasi,House
Phaxsi,Sun
Illimani,Mountain
Mallku,Condor
Jach'a,Big
Jiska,Moon
Pacha,World
Sara,Tooth
Munay,To love
Q'ara,Black
Apu,Lord
Titi,Cat
Ch'ama,Star
Kuti,To return
Qhapaq,Great
Kawsay,Life
Pachamama,Mother Earth
Wasi,House
Salla,Valley
Jani,To eat
Qhucha,Dirty
K'ara,Stone
Kuska,Bird
Mama,Mother
Papa,Father
Wara,Boat
Uma,Head
Suyu,Region
Waka,Temple
Mita,Together
Llaqta,Town
T'ika,To drink
Wasiqi,Neighbor
Uña,Finger
Q'asa,Nose
Kuntur,Condor
Sullka,Star
Lluq'i,Moon
Mara,Sea
Quta,Lake
Punku,Door
Qullqi,Silver
Ch'uspa,Purse
Sikuris,Flutes
Chaska,Star
Ñawi,Eye
Simi,Language
Qhapaq Ñan,Royal Road
Pantalla,Screen
Thaki,Song
Ch'aki,Moon
T'ika,To drink
K'asa,Bowl
T'ika,To eat
Wila,Come
Wayra,Wind
Jilakata,Tornado
Llach'i,Cold
Masi,Deer
Tuta,Potato
Ñawi,Eye
Usnu,Altar
T'ika,To drink
Llank'ay,Work
Wara,Boat
Mallku,Condor
Waka,Temple
Q'illu,White
Tawa,Four
Sara,Tooth
Uma,Head
Sullka,Star
Pantalla,Screen
Jisk'a Phaxsi,Crescent Moon
Thaki,Song
Wasi,Husband
Puri,Cloud
Jani,To eat
Mama,Mother
Quta,Lake
Kawsay,Life
Siki,To walk
Llaqta,Town
Kusi,Joy
Wasi,Wife
Mamaq,Mother
Suma,Water
Jach'a,Big
Inti,Fire
Qhapaq,Great
Sara,Tooth
Phaxsi,Sun
Illimani,Mountain
Pacha,World
Qullqi,Silver
Puma,Cougar
Simi,Language
Nina,Child
Qhapaq Ñan,Royal Road
Wira,Blood
Salla,Valley
Pachamama,Mother Earth
Wamp'u,Song
Llaki,Love
Q'ara,Black
T'ika,To drink
Kusi,Joy
Sara,Tooth
Qhapaq,Great
Sullka,Star
Jach'a,Big
K'ara,Black
Kusi,Joy
Mallku,Condor
Q'illu,White
T'ika,To eat
Inti,Fire
Suma,Water
Pacha,World
Wasi,House
Wara,Boat
Puma,Cougar
Mama,Mother
Papa,Father
Nina,Child
Ch'ama,Star
Kusi,Joy
Simi,Language
Ñawiñam munay, My love
T'ika jilanchay, You miss
Mama wawqi, Mother's child
Sara ñawi, Shining eye
Apu Mallku, Condor chief
Sara inti, Shining sun
Ñuqa suti, I send
Phaxsi janq'a, Sun going
Q'ara phaxsi, Black sun
Ñuqa jisk'a, I shine
Wasi phaxsi, House sun
T'ika phusuy, You leave
Ñawiñam jach'a, Big eye
Mama inti, Mother's sun
Sara wakichis, Sun talking
Ñuqa wakichis, I talk
Phaxsi wakichis, Sun talking
Suma munay, I love
Apu Ñawi, Chief's eye
Ñuqa munay, I love
Wasi t'ikaru, House returning
Q'ara ñawi, Black eye
Ñuqa t'ikaru, I return
Jach'a phusuy, Big leave
Ñawi munay, Eye love
Sara jach'a, Shining big
Phaxsi ñawi, Sun eye
Ñuqa jach'a, I am big
Wasi janq'a, House going
T'ika suti, You send
Ñawiñam wakichis, My talking
Mama phusuy, Mother leaves
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi inti, Sun's sun
Q'ara jisk'a, Black shine
Ñuqa phusuy, I leave
Jach'a munay, Big love
Ñawi ñawi, Eye eye
Sara ñawi, Shining eye
Phaxsi suti, Sun send
Suma janq'a, I am going
Apu inti, Chief's sun
Ñuqa wakichis, I talk
Wasi wakichis, House talking
T'ika wakichis, You talk
Ñawiñam phusuy, My leaving
Mama jisk'a, Mother shines
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi jach'a, Sun big
Q'ara ñawi, Black eye
Ñuqa suti, I send
Jach'a janq'a, Big going
Ñawi munay, Eye love
Sara munay, Shining love
Phaxsi ñawi, Sun eye
Ñuqa jach'a, I am big
Wasi janq'a, House going
T'ika suti, You send
Ñawiñam wakichis, My talking
Mama phusuy, Mother leaves
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi inti, Sun's sun
Q'ara jisk'a, Black shine
Ñuqa phusuy, I leave
Jach'a munay, Big love
Ñawi ñawi, Eye eye
Sara ñawi, Shining eye
Phaxsi suti, Sun send
Suma janq'a, I am going
Apu inti, Chief's sun
Ñuqa wakichis, I talk
Wasi wakichis, House talking
 wakichis, You talk
Ñawiñam phusuy, My leaving
Mama jisk'a, Mother shines
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi jach'a, Sun big
Q'ara ñawi, Black eye
Ñuqa suti, I send
Jach'a janq'a, Big going
Ñawi munay, Eye love
Sara munay, Shining love
Phaxsi ñawi, Sun eye
Ñuqa jach'a, I am big
Wasi janq'a, House going
T'ika suti, You send
Ñawiñam wakichis, My talking
Mama phusuy, Mother leaves
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi inti, Sun's sun
Q'ara jisk'a, Black shine
Ñuqa phusuy, I leave
Jach'a munay, Big love
Ñawi ñawi, Eye eye
Sara ñawi, Shining eye
Phaxsi suti, Sun send
Suma janq'a, I am going
Apu inti, Chief's sun
Ñuqa wakichis, I talk
Wasi wakichis, House talking
T'ika wakichis, You talk
Ñawiñam phusuy, My leaving
Mama jisk'a, Mother shines
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi jach'a, Sun big
Q'ara ñawi, Black eye
Ñuqa suti, I send
Jach'a janq'a, Big going
Ñawi munay, Eye love
Sara munay, Shining love
Phaxsi ñawi, Sun eye
Ñuqa jach'a, I am big
Wasi janq'a, House going
T'ika suti, You send
Ñawiñam wakichis, My talking
Mama phusuy, Mother leaves
Sara phusuy, Sun leaves
Ñuqa janq'a, I am going
Phaxsi inti, Sun's sun
Q'ara jisk'a, Black shine
Ñuqa phusuy, I leave
Jach'a munay, Big love
Ñawi ñawi, Eye eye
Sara ñawi, Shining eye
Phaxsi suti, Sun send
Suma janq'a phusuy, I am leaving
Jach'a inti munay, Big love
Wasi phusuy wakichis, House leaves talking
Ñawiñam munay suti, My love sends
T'ika jilanchay phusuy, You miss leaves
Mama wawqi jisk'a, Mother's child shines
Sara ñawi wakichis, Shining eye talks
Apu Mallku jach'a, Condor chief big
Sara inti wakichis, Shining sun talks
Ñuqa suti janq'a, I send go
Phaxsi janq'a suti, Sun goes send
Q'ara phaxsi ñawi, Black sun eye
Ñuqa jisk'a phusuy, I shine leave
Wasi phaxsi janq'a, House sun goes
T'ika phusuy jisk'a, You leave shine
Ñawiñam jach'a munay, My big love
Mama inti wakichis, Mother's sun talks
Sara wakichis phusuy, Sun talks leaves
Ñuqa wakichis jisk'a, I talk shine
Phaxsi wakichis phusuy, Sun talks leaves
Suma munay janq'a, I love go
Apu Ñawi jisk'a, Chief's eye shines
Ñuqa munay janq'a, I love go
Wasi t'ikaru phusuy, House return leaves
Q'ara ñawi jisk'a, Black eye shines
Ñuqa t'ikaru janq'a, I return go
Jach'a phusuy munay, Big leave love
Ñawi munay suti, Eye love sends
Sara phusuy jach'a, Shining leaves big
Phaxsi ñawi wakichis, Sun eye talks
Ñuqa jach'a janq'a, I am big go
Wasi janq'a phusuy, House goes leave
T'ika suti janq'a, You send go
Ñawiñam wakichis phusuy, My talking leaves
Mama phusuy jisk'a, Mother leaves shines
Sara phusuy janq'a, Sun leaves go
Ñuqa janq'a phusuy, I go leave
Phaxsi inti munay, Sun's sun love
Q'ara jisk'a phusuy, Black shine leaves
Ñuqa phusuy janq'a, I leave go
Jach'a munay suti, Big love sends
Ñawi ñawi munay, Eye eye love
Sara ñawi munay, Shining eye love
Phaxsi suti janq'a, Sun sends go
Suma janq'a inti, I go sun
Apu inti munay, Chief's sun love
Ñuqa wakichis janq'a, I talk go
Wasi wakichis phusuy, House talks leaves
T'ika wakichis janq'a, You talk go
Ñawiñam phusuy janq'a, My leaves go
Mama jisk'a munay, Mother shines love
Sara phusuy janq'a, Sun leaves go
Ñuqa janq'a phusuy, I go leave
Phaxsi jach'a inti, Sun big sun
Q'ara ñawi jisk'a, Black eye shines
Ñuqa phusuy janq'a, I leave go
Apu inti munay, Chief's sun love
Ñuqa wakichis janq'a, I talk go
Wasi wakichis phusuy, House talks leaves
T'ika wakichis janq'a, You talk go
Ñawiñam phusuy janq'a, My leaves go
Mama jisk'a munay, Mother shines love
Sara phusuy janq'a, Sun leaves go
Ñuqa janq'a phusuy, I go leave
Phaxsi jach'a inti, Sun big sun
Q'ara ñawi jisk'a, Black eye shines
Ñuqa phusuy janq'a, I leave go
Jach'a munay suti, Big love sends
Ñawi ñawi munay, Eye eye love
Sara ñawi munay, Shining eye love
Phaxsi suti janq'a, Sun sends go
Suma, I
Janq'a, go
Phusuy, leave
Jach'a, big
Inti, sun
Munay, love
Wasi, house
Ñawi, eye
Ñawiñam, my
T'ika, you
Jilanchay, miss
Wawqi, child
Jisk'a, shine
Wakichis, talk
Apu, chief
Mama, mother
Suti, send
Phaxsi, sun
Q'ara, black
Wila, Red
Q'illu, Yellow
Anqas, Blue
Jisk'a, White
Q'ara, Black
K'anchay, Green
Q'ispi, Purple
Puka, Pink
K'umiri, Gray
Pulis, Brown
Sutha, Orange
K'aspi, Sky Blue
Uqi, Turquoise
Q'ara q'ara, Dark Black
Ch'aska, Gold
Q'ispi wila, Dark Red
Q'illu q'illu, Bright Yellow
Anqas jisk'a, Light Blue
Wila puka, Red Pink
Q'ara anqas, Black Blue
K'anchay q'illu, Green Yellow
Q'ispi pulis, Purple Brown
Sutha wila, Orange Red
Jisk'a k'umiri, White Gray
Q'ara k'aspi, Black Sky Blue
Uqi q'ispi, Turquoise Purple
Ch'aska puka, Gold Pink
Q'ispi wila puka, Dark Red Pink
Q'illu q'illu q'illu, Bright Bright Yellow
Anqas jisk'a jisk'a, Light Light Blue
Wila puka pulis, Red Pink Brown
Q'ara anqas anqas, Black Blue Blue
K'anchay q'illu q'illu, Green Yellow Yellow
Q'ispi pulis pulis, Purple Brown Brown
Sutha wila wila, Orange Red Red
Jisk'a k'umiri k'umiri, White Gray Gray
Q'ara k'aspi k'aspi, Black Sky Blue Blue
Uqi q'ispi q'ispi, Turquoise Purple Purple
Ch'aska puka puka, Gold Pink Pink
Q'oya, Tree
P'ititi, Flower
Wayra p'ititi, Wind flower
Kantu, Orchid
Wira wira, Fern
Ñawi wayra, Eye of the wind
Mama ojho, Mother's herb
Q'ara p'ititi, Black flower
Wach'a wayra, Giant wind
Panka panka, Cactus
Ñust'a q'oya, Princess tree
Kusi kusi, Moss
Ñuqa jallp'a, I water
Mama q'oya, Mother's tree
Wak'a wayra, Sacred wind
Mallku wira, Chief fern
Ñust'a kantu, Princess orchid
Pacha pacha, Grass
Jinti p'ititi, Bear flower
Suma wira, Big fern
Ñawi p'ititi, Eye flower
Pacha mama q'oya, Earth mother tree
Wak'a p'ititi, Sacred flower
Mama panka panka, Mother's cactus
Ñawi wira, Eye fern
Kimsa kimsa, Three three
Pacha q'oya, Earth tree
Inti wira, Sun fern
Ñust'a p'ititi, Princess flower
Suma p'ititi, Big flower
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ñuqa jisk'a, I shine
Q'ara wayra, Black wind
Ñawi kantu, Eye orchid
Ñust'a wira, Princess fern
Wara wara, Lichen
Kimsa q'oya, Three tree
Inti p'ititi, Sun flower
Ñust'a wayra, Princess wind
Suma wira, Big fern
Ch'iyawiri, January
Phaxsiwiri, February
Jalluq'a wakani, March
Piru phuyu, April
Anta wayruru, May
Inti k'anchay, June
Qillqa uyu, July
Llamqha k'uychi, August
Wara wara, September
Pacha q'awa, October
Ch'iyapacha, November
K'upa k'upa, December
P'iq'i futbol, Football match
Ñawiñam k'ajsi, My goal
Jach'a phutbol ch'ama, Big soccer field
Q'ara maki, Black racket
Suma saqta, I jump
Ñuqa wista, I run
Phaxsi t'arina, Sun shines
Apu mallki k'ajsi, Condor chief's goal
Ñuqa k'ajsi, I score
Phutbol wistayki, Soccer player
T'ika ch'ama, You play
Ñawiñam k'ajsi t'arina, My goal shines
Saqta wistayki, Jumper player
Suma wistayki, I jump player
Ñuqa k'ajsi, I score
Phaxsi saqta, Sun jumps
Q'ara phutbol wistayki, Black soccer player
Ñuqa saqta, I jump
P'iq'i t'arina, Football shines
Jach'a saqta wistayki, Big jumper player
Ñuqa wistayki, I play
Phaxsi k'ajsi, Sun goal
Apu mallki t'arina, Condor chief shines
Ñuqa k'ajsi, I score
Phutbol saqta, Soccer jump
T'ika wistayki, You play
Ñawiñam k'ajsi saqta, My goal jumps
Saqta wistayki, Jumper player
Suma wistayki, I jump player
Ñuqa k'ajsi, I score
Phaxsi saqta, Sun jumps
Q'ara phutbol wistayki, Black soccer player
Ñuqa saqta, I jump
P'iq'i t'arina, Football shines
Jach'a saqta wistayki, Big jumper player
Ñuqa wistayki, I play
Phaxsi k'ajsi, Sun goal
Apu mallki t'arina, Condor chief shines
Ñuqa k'ajsi, I score
Phutbol saqta, Soccer jump
T'ika wistayki, You play
Ñawiñam k'ajsi saqta, My goal jumps
Saqta wistayki, Jumper player
Suma wistayki, I jump player
Ñuqa k'ajsi, I score
Phaxsi saqta, Sun jumps
Q'ara phutbol wistayki, Black soccer player
Ñuqa saqta, I jump
P'iq'i t'arina, Football shines
Jach'a saqta wistayki, Big jumper player
Ñuqa wistayki, I play
Phaxsi k'ajsi, Sun goal
Apu mallki t'arina, Condor chief shines
Ñuqa k'ajsi, I score
Phutbol saqta, Soccer jump
